name,nameraw
Michel De Hey,Michel De Hey
Sam Blans,Sam Blans
Piri + Tommy,Piri + Tommy
LUCY TUN,LUCY TUN
Nora En Pure,Nora En Pure
Wave Wave,Wave Wave
Nancie,Nancie
Riley & Durrant,Riley & Durrant
Fiona Hall,Fiona Hall
Nightmares On Wax,Nightmares On Wax (DJ set)
Chabeli,Chabeli
Ellen Allien,Ellen Allien
Eclair Fifi,Eclair Fifi
XxIsisxX,XxIsisxX
Danny Tenaglia,Danny Tenaglia
Abel,Abel
Meduza,Meduza
Genesi,Genesi
Guy J,Guy J
Oden & Fatzo,Oden & Fatzo (live)
Sasha & John Digweed,Sasha & John Digweed 
Undermoon,Undermoon 
Hayley Wallace,Hayley Wallace
Jay Thomas,Jay Thomas
Chus,Chus
Sis,Sis
DJ Kaliba,DJ Kaliba
Made By Pete,Made By Pete
Cameron Jack,Cameron Jack
Nicolas Caprile,Nicolas Caprile
Tita Lau,Tita Lau
Andrea Oliva,Andrea Oliva (all night long)
Boy George,Boy George
Jaguar,Jaguar
Melanie Ribbe,Melanie Ribbe
Toman,Toman
Russ Millions,Russ Millions (live PA)
G-Diamond,G-Diamond
Act On,Act On
Ryan Arnold,Ryan Arnold
Holl3,Holl3
Elo,Elo
Paraiso Takeover,Paraiso Takeover
Colleen 'Cosmo' Murphy,Colleen 'Cosmo' Murphy
Carl Craig,Carl Craig
DJ Holographic,DJ Holographic
Suze IJÓ,Suze IJÓ
Lovebirds,Lovebirds
Seamus Haji,Seamus Haji
Mar-T,Mar-T
Ricardo Villalobos B2B Nina Kraviz,Ricardo Villalobos B2B Nina Kraviz
Deborah De Luca,Deborah De Luca
Katnada,Katnada
Lilly Palmer B2B Alan Fitzpatrick,Lilly Palmer B2B Alan Fitzpatrick
Onyvaa,Onyvaa
Evie,Evie
GW Harrison,GW Harrison
Luke Dean,Luke Dean
Will Wiley,Will Wiley
Continental GT,Continental GT
Sam Lashmar,Sam Lashmar
Leon Skinner,Leon Skinner
Bongo Ben,Bongo Ben (live percussion)
Mahmut Orhan,Mahmut Orhan
Sezer Uysal,Sezer Uysal
LF System,LF System
Biscits,Biscits
Nick Sheldon,Nick Sheldon
Bizarrap,Bizarrap
José de las Heras,José de las Heras
Hektor Mass,Hektor Mass
Cande Gariso,Cande Gariso
Folamour,Folamour
Crusy,Crusy
Kid Fonque B2B China Charmeleon,Kid Fonque B2B China Charmeleon
Charlie Sparks,Charlie Sparks
Faster Horses,Faster Horses
Kimmic,Kimmic
Reboot DJs,Reboot DJs
DJ Koze,DJ Koze
Notre Dame,Notre Dame
Malandra,Malandra
Alexis Cabrera,Alexis Cabrera (live)
Ignacio Morales,Ignacio Morales
Velasco,Velasco
Youandewen,Youandewen
Charlotte Plank,Charlotte Plank
Icona Pop,Icona Pop
Paul Oakenfold,Paul Oakenfold
D-Block Europe,D-Block Europe
Malaa,Malaa
Tia Lau,Tia Lau
Basswell,Basswell
Brenda Serna,Brenda Serna
Cassie Raptor,Cassie Raptor 
Partiboi69,Partiboi69 
Charlie Hedges,Charlie Hedges
Henrik Schwarz,Henrik Schwarz (live)
Angelos,Angelos
Airrica,Airrica
Jays de Lys,Jays de Lys
Melé,Melé
Paige Tomlinson,Paige Tomlinson
Solardo,Solardo
Toni Varga,Toni Varga
Eats Everything,Eats Everything (all night long)
2manydjs,2manydjs
Sofia Kourtesis,Sofia Kourtesis
Elliot Schooling & Liam Palmer,Elliot Schooling & Liam Palmer
Daze,Daze
Cruz,Cruz
Ethan Flint,Ethan Flint
Olivia Hills,Olivia Hills
Lennon,Lennon
Parma,Parma
Philtek,Philtek
Benji King,Benji King
Dan Cluskey,Dan Cluskey
Dave Charles,Dave Charles
Phil MF,Phil MF
Sy Sez,Sy Sez
Jayda G,Jayda G
Jitwam,Jitwam
Young Pulse,Young Pulse
Adiel,Adiel
Charlotte de Witte,Charlotte de Witte
Mathias Kaden,Mathias Kaden
Nico Moreno,Nico Moreno
Shlømo,Shlømo
Joey Daniel,Joey Daniel
Murphy's Law,Murphy's Law
LaLa,LaLa
Sasha & John Digweed,Sasha & John Digweed
Kalismã,Kalismã
Sonny Fodera,Sonny Fodera
Dombreski,Dombreski 
Paisley Jensen,Paisley Jensen
Sammy Virji B2B Interplanetary Criminal,Sammy Virji B2B Interplanetary Criminal
Girls Don't Sync,Girls Don't Sync
Hybrid Minds (with MC Tempza),Hybrid Minds (with MC Tempza)
K Motionz,K Motionz
Charlie Tee,Charlie Tee
Stature,Stature
Nathan X,Nathan X
The Martinez Brothers,The Martinez Brothers
